grpcnt,rptcnt,type,A,B,name,Eng_lab,French_lab,Swahililab,label::English,label::Français,label::Swahili,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::English,constraint_message::Français,constraint_message::Swahili,required,repeat_count
0,0,calculate,,,date_d,,,,,,,"format-date(${start},'%e')",,,,,,,,,,,,
0,0,calculate,,,date,,,,,,,"concat(${date_y},if(${date_m}<10,'0',''),${date_m},if(${date_d}<10,'0',''),${date_d})",,,,,,,,,,,,
0,0,calculate,,,form_code,,,,,,,"concat('H',${date},'.',if(number(${interviewer})<10,'0',''),${interviewer},if(${device_num}<10,'0',''),${device_num},${obs_id})",,,,,,,,,,,,
,,select_one yes_no,,,chef_change,Est-ce que le chef de ménage est le meme qu'en 2013?,Est-ce que le chef de ménage est le meme qu'en 2013?,Est-ce que le chef de ménage est le meme qu'en 2013?,Est-ce que le chef de ménage est le meme qu'en 2013?,Est-ce que le chef de ménage est le meme qu'en 2013?,Est-ce que le chef de ménage est le meme qu'en 2013?,,,,,,,,,,,,yes,
,,select_one chefchange_list,,,chef_change_why,Pourquoi pas?,Pourquoi pas?,Pourquoi pas?,Pourquoi pas?,Pourquoi pas?,Pourquoi pas?,,,,,,${chef_change}='0',,,,,,yes,
,,text,,,chef_change_autre,Specifiez,Spécifiez,Spécifiez,Specifiez,Spécifiez,Spécifiez,,,,,,${chef_change_why}='96',,,,,,,
1,0,begin group,,,hh_,Household Questionnaire,Questionnaire de ménage,Questionnaire de ménage,Household Questionnaire,Questionnaire de ménage,Questionnaire de ménage,,,,,,not(number(${result}>1)),,,,,,,
1,0,note,,,instruct_names_1,"You will be asked the names of all household members. These names will be used in the rest of the interview, so make sure to include everyone.","Je vais vous demander les noms de tous les membres du ménage. Ces soms seront utilisé dans le reste du questionnaire, donc assurez vous d'inclure tous.","Ningipenda kukuhuliza majina ya watu wote wanyumbani. Majina haya yatatumikishwa ku mwisho wa mazungumzo, kwahiyo hakikisha kwamba watu wote wameandikwa","You will be asked the names of all household members. These names will be used in the rest of the interview, so make sure to include everyone.","Je vais vous demander les noms de tous les membres du ménage. Ces soms seront utilisé dans le reste du questionnaire, donc assurez vous d'inclure tous.","Ningipenda kukuhuliza majina ya watu wote wanyumbani. Majina haya yatatumikishwa ku mwisho wa mazungumzo, kwahiyo hakikisha kwamba watu wote wameandikwa",,,,"Le ménage inclut tous les personnes qui sont absent pendant moins qu'un année, ou visiteurs de plus que 3 mois.","Le ménage inclut tous les personnes qui sont absent pendant moins qu'un année, ou visiteurs de plus que 3 mois.",,,,,,,,
1,1,begin repeat,,,hhnames,Household Member,Membre du ménage: Nom,Membre du ménage: Nom,Household Member,Membre du ménage: Nom,Membre du ménage: Nom,,,,,,,,,,,,,
1,1,calculate,,,nameline,,,,,,,position(..),,,,,,,,,,,,
2,1,begin group,,,names,Name,Nom,Nom,Name,Nom,Nom,,field-list,,,,,,,,,,,
2,1,note,,,instruct_names_2,Household head,Chef de ménage,Chef de ménage,Household head,Chef de ménage,Chef de ménage,,,,,,${nameline}=1,,,,,,,
2,1,note,,,instruct_names_3,"Other household members: wive, children, visitors","Autres membres: conjoints de chef, les enfants, etc","Autres membres: conjoints de chef, les enfants, etc","Other household members: wive, children, visitors","Autres membres: conjoints de chef, les enfants, etc","Autres membres: conjoints de chef, les enfants, etc",,,,"Le ménage inclut tous les personnes qui sont absent pendant moins qu'un année, ou visiteurs de plus que 3 mois.",,${nameline}>1,,,,,,,
2,1,text,1,,mem_nm,Name,Nom,Nom, Name,Nom,Nom,,,,,,,,,,,,yes,
1,1,end group,,,,,,,,,,,,,,,,,,,,,,
1,0,end repeat,,,,,,,,,,,,,,,,,,,,,,
1,0,calculate,1,,mem_nm_1,There are just to create labels that can be used in select_one or select_multiple questions,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},1)",,,,,,,,,,,,
1,0,calculate,2,,mem_nm_2,Just copy paste these to the number required,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},2)",,,,,,,,,,,,
1,0,calculate,3,,mem_nm_3,Make sure to do the same on the choices sheet,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},3)",,,,,,,,,,,,
1,0,calculate,4,,mem_nm_4,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},4)",,,,,,,,,,,,
1,0,calculate,5,,mem_nm_5,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},5)",,,,,,,,,,,,
1,0,calculate,6,,mem_nm_6,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},6)",,,,,,,,,,,,
1,0,calculate,7,,mem_nm_7,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},7)",,,,,,,,,,,,
1,0,calculate,8,,mem_nm_8,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},8)",,,,,,,,,,,,
1,0,calculate,9,,mem_nm_9,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},9)",,,,,,,,,,,,
1,0,calculate,10,,mem_nm_10,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},10)",,,,,,,,,,,,
1,0,calculate,11,,mem_nm_11,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},11)",,,,,,,,,,,,
1,0,calculate,12,,mem_nm_12,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},12)",,,,,,,,,,,,
1,0,calculate,13,,mem_nm_13,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},13)",,,,,,,,,,,,
1,0,calculate,14,,mem_nm_14,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},14)",,,,,,,,,,,,
1,0,calculate,15,,mem_nm_15,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},15)",,,,,,,,,,,,
1,0,calculate,16,,mem_nm_16,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},16)",,,,,,,,,,,,
1,0,calculate,17,,mem_nm_17,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},17)",,,,,,,,,,,,
1,0,calculate,18,,mem_nm_18,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},18)",,,,,,,,,,,,
1,0,calculate,19,,mem_nm_19,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},19)",,,,,,,,,,,,
1,0,calculate,20,,mem_nm_20,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames},20)",,,,,,,,,,,,
1,0,calculate,,,hh_size,,,,,,,count(${mem_nm}),,,,,,,,,,,,
2,0,begin group,,,grp_name_check,Name check,Verification des noms,Verification des noms,Name check,Verification des noms,Verification des noms,,field-list,,,,,,,,,,,
2,0,note,,,note_check_names,Vous avez mentionné ${hh_size} noms:,Vous avez mentionné ${hh_size} noms:,Vous avez mentionné ${hh_size} noms:,Vous avez mentionné ${hh_size} noms:,Vous avez mentionné ${hh_size} noms:,Vous avez mentionné ${hh_size} noms:,,,,,,,,,,,,,
2,0,note,1,,note_mem_nm_1,${mem_nm_1},${mem_nm_1},${mem_nm_1}, ${mem_nm_1},${mem_nm_1},${mem_nm_1},,,,,,${hh_size}>=1,,,,,,,
2,0,note,2,,note_mem_nm_2,${mem_nm_2},${mem_nm_2},${mem_nm_2}, ${mem_nm_2},${mem_nm_2},${mem_nm_2},,,,,,${hh_size}>=2,,,,,,,
2,0,note,3,,note_mem_nm_3,${mem_nm_3},${mem_nm_3},${mem_nm_3}, ${mem_nm_3},${mem_nm_3},${mem_nm_3},,,,,,${hh_size}>=3,,,,,,,
2,0,note,4,,note_mem_nm_4,${mem_nm_4},${mem_nm_4},${mem_nm_4}, ${mem_nm_4},${mem_nm_4},${mem_nm_4},,,,,,${hh_size}>=4,,,,,,,
2,0,note,5,,note_mem_nm_5,${mem_nm_5},${mem_nm_5},${mem_nm_5}, ${mem_nm_5},${mem_nm_5},${mem_nm_5},,,,,,${hh_size}>=5,,,,,,,
2,0,note,6,,note_mem_nm_6,${mem_nm_6},${mem_nm_6},${mem_nm_6}, ${mem_nm_6},${mem_nm_6},${mem_nm_6},,,,,,${hh_size}>=6,,,,,,,
2,0,note,7,,note_mem_nm_7,${mem_nm_7},${mem_nm_7},${mem_nm_7}, ${mem_nm_7},${mem_nm_7},${mem_nm_7},,,,,,${hh_size}>=7,,,,,,,
2,0,note,8,,note_mem_nm_8,${mem_nm_8},${mem_nm_8},${mem_nm_8}, ${mem_nm_8},${mem_nm_8},${mem_nm_8},,,,,,${hh_size}>=8,,,,,,,
2,0,note,9,,note_mem_nm_9,${mem_nm_9},${mem_nm_9},${mem_nm_9}, ${mem_nm_9},${mem_nm_9},${mem_nm_9},,,,,,${hh_size}>=9,,,,,,,
2,0,note,10,,note_mem_nm_10,${mem_nm_10},${mem_nm_10},${mem_nm_10}, ${mem_nm_10},${mem_nm_10},${mem_nm_10},,,,,,${hh_size}>=10,,,,,,,
2,0,note,11,,note_mem_nm_11,${mem_nm_11},${mem_nm_11},${mem_nm_11}, ${mem_nm_11},${mem_nm_11},${mem_nm_11},,,,,,${hh_size}>=11,,,,,,,
2,0,note,12,,note_mem_nm_12,${mem_nm_12},${mem_nm_12},${mem_nm_12}, ${mem_nm_12},${mem_nm_12},${mem_nm_12},,,,,,${hh_size}>=12,,,,,,,
2,0,note,13,,note_mem_nm_13,${mem_nm_13},${mem_nm_13},${mem_nm_13}, ${mem_nm_13},${mem_nm_13},${mem_nm_13},,,,,,${hh_size}>=13,,,,,,,
2,0,note,14,,note_mem_nm_14,${mem_nm_14},${mem_nm_14},${mem_nm_14}, ${mem_nm_14},${mem_nm_14},${mem_nm_14},,,,,,${hh_size}>=14,,,,,,,
2,0,note,15,,note_mem_nm_15,${mem_nm_15},${mem_nm_15},${mem_nm_15}, ${mem_nm_15},${mem_nm_15},${mem_nm_15},,,,,,${hh_size}>=15,,,,,,,
2,0,note,16,,note_mem_nm_16,${mem_nm_16},${mem_nm_16},${mem_nm_16}, ${mem_nm_16},${mem_nm_16},${mem_nm_16},,,,,,${hh_size}>=16,,,,,,,
2,0,note,17,,note_mem_nm_17,${mem_nm_17},${mem_nm_17},${mem_nm_17}, ${mem_nm_17},${mem_nm_17},${mem_nm_17},,,,,,${hh_size}>=17,,,,,,,
2,0,note,18,,note_mem_nm_18,${mem_nm_18},${mem_nm_18},${mem_nm_18}, ${mem_nm_18},${mem_nm_18},${mem_nm_18},,,,,,${hh_size}>=18,,,,,,,
2,0,note,19,,note_mem_nm_19,${mem_nm_19},${mem_nm_19},${mem_nm_19}, ${mem_nm_19},${mem_nm_19},${mem_nm_19},,,,,,${hh_size}>=19,,,,,,,
2,0,note,20,,note_mem_nm_20,${mem_nm_20},${mem_nm_20},${mem_nm_20}, ${mem_nm_20},${mem_nm_20},${mem_nm_20},,,,,,${hh_size}>=20,,,,,,,
2,0,select_one yes_no,,,namecheck,Is this correct?,Est-ce que c'est correct?,Est-ce que c'est correct?,Is this correct?,Est-ce que c'est correct?,Est-ce que c'est correct?,,,,,,,,.='1',,,,yes,
1,0,end group,,,,,,,,,,,,,,,,,,,,,,
1,1,begin repeat,,,hhroster,Household Member,Membre du ménage,Membre du ménage,Household Member,Membre du ménage,Membre du ménage,,,,,,,,,,,,,${hh_size}
1,1,calculate,,,linenum,,,,,,,position(..),,,,,,,,,,,,
1,1,calculate,,,curr_name,,,,,,,"indexed-repeat(${mem_nm}, ${hhnames}, if(${linenum} != null, ${linenum}, 1))",,,,,,,,,,,,
2,1,begin group,A,,a_,${curr_name},${curr_name},${curr_name}, ${curr_name}, ${curr_name},${curr_name},,,,,,${hh_size}>=${linenum},,,,,,,
2,1,note,,,note,Questions about ${curr_name},Questions sur ${curr_name},Questions sur ${curr_name},Questions about ${curr_name},Questions sur ${curr_name},Questions sur ${curr_name},,,,,,,,,,,,,
2,1,select_one gender_list,2,.2,gender,What is the sex of ${curr_name}?,Quel est le genre de ${curr_name}?,Quel est le genre de ${curr_name}?,.2 What is the sex of ${curr_name}?,Quel est le genre de ${curr_name}?,Quel est le genre de ${curr_name}?,,,,,,,,,,,,yes,
2,1,integer,3,.3,age,What is the age of ${curr_name}?,Quel est l'age de ${curr_name}?,Quel est l'age de ${linenum}?,.3 What is the age of ${curr_name}?,.3 Quel est l'age de ${curr_name}?,.3 Quel est l'age de ${linenum}?,,,"If less then one year, enter 0","Si moins qu'un an, saisisez 0","Si moins qu'un an, saisisez 0",,,.>=0 and .<=120 and not(.<12 and ${linenum}=1),,,,yes,
2,1,select_one exact_list,4,.4,age_exact,Is the age of the household member exact of approximate?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${curr_name} ni kamili au inataka henea?,.4 Is the age of the household member exact of approximate?,.4 Est-ce que l'age est exacte ou approximatif?,.4 Je! miaka ya ${curr_name} ni kamili au inataka henea?,,,,,,,,,,,,yes,
2,1,select_one relation_cdm,5,.5,relhead,What is ${linenum} to the household head?,Quelle est la relation entre ${curr_name} et le chef du ménage?,${curr_name}  ana undugu gani na mkubwa wa nyumba?,.5 What is ${linenum} to the household head?,.5 Quelle est la relation entre ${curr_name} et le chef du ménage?,.5 ${curr_name}  ana undugu gani na mkubwa wa nyumba?,,,Respondent is the ... Of the head of the household,Enqueté est le ... Du chef de ménage,Enqueté est le ... Du chef de ménage,${linenum}!=1,,"not(.='2' and indexed-repeat(${gender},${hhroster},1)='1' and ${gender}='1') and not(.='2' and indexed-repeat(${gender},${hhroster},1)='2' and ${gender}='2') and not(.='3' and indexed-repeat(${age},${hhroster},1)-${age}<12) and not(.='4' and indexed-repeat(${age},${hhroster},1)-${age}<24) and not(.='5' and ${age} - indexed-repeat(${age},${hhroster},1)<12)","Verify age and sex, also of CdM","Verifiez l'age et genre, aussi de Chef de Ménage","Verifiez l'age et genre, aussi de Chef de Ménage",yes,
2,1,select_one maritalstatus,,,marstat,What is  the marital status of ${linenum}?,Quel est l'etat civil de ${curr_name}?,Quel est l'etat civil de ${linenum}?,What is  the marital status of ${linenum}?,Quel est l'etat civil de ${curr_name}?,Quel est l'etat civil de ${linenum}?,,,,,,${relhead}!='2' and ${age}>12,,,,,,yes,
2,1,select_one yes_no,,,head_hhmar,Is ${linenum} married to someone in the HH?,${curr_name} est marié avec quelqu'un dans le ménage?,${linenum} est marié avec quelqu'un dans le ménage?,Is ${linenum} married to someone in the HH?,${curr_name} est marié avec quelqu'un dans le ménage?,${linenum} est marié avec quelqu'un dans le ménage?,,,"If yes, the questions about the marriage will be asked in the groupe of the wive.","Si oui, les questions sur le mariage seront demandé dans le groupe du conjoint(e).","Si oui, les questions sur le mariage seront demandé dans le groupe du conjoint(e).",${linenum}=1 and ${marstat}='2',,not(.='1' and ${hh_size}=1),,,,yes,
2,1,select_one housingstatus_list,6,.6,resstat,What is ${linenum}'s residence status within the household?,Quelle est le statut de residence au ménage de ${curr_name}?,Je! ${mem_nm_1} anabaki hapa kwa muda (miaka) yote?,.6 What is ${linenum}'s residence status within the household?,.6 Quelle est le statut de residence au ménage de ${curr_name}?,.6 Je! ${mem_nm_1} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,,yes,
2,1,select_one schooling_list,7,.7,school,What is the level of education of ${linenum}?,Quel est le niveau d'education de ${curr_name}?,${linenum} ameishia somo la ngapi?,.7 What is the level of education of ${linenum}?,.7 Quel est le niveau d'education de ${curr_name}?,.7 ${linenum} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,${age}>3,,not(.='1' and ${age}<2) and not(.='2' and ${age}<8) and not(.='3' and ${age}<8) and not(.='4' and ${age}<12) and not(.='5' and ${age}<12) and not(.='6' and ${age}<16) and not(.='7' and ${age}<12),,,,yes,
2,1,select_one religion_list,8,.8,religion,What is the religion of ${linenum},Quelle est la religion de ${curr_name}?,Dini ya ${linenum} ni gani?,.8 What is the religion of ${linenum},.8 Quelle est la religion de ${curr_name}?,.8 Dini ya ${linenum} ni gani?,,,,,,,,,,,,yes,
2,1,text,,,religion_oth,Other religion,Autre religion,Dini ingine?,Other religion,Autre religion,Dini ingine?,,,,,,${religion}='96',,,,,,yes,
2,1,select_one tribe_list,9,.9,etn,What is the mother language of ${linenum}?,Quelle est le langue maternel de ${curr_name}?,Luga ya ${linenum} ya asili ni gani?,.9 What is the mother language of ${linenum}?,.9 Quelle est le langue maternel de ${curr_name}?,.9 Luga ya ${linenum} ya asili ni gani?,,,,,,${linenum}=1 or ${relhead}='2',,,,,,yes,
2,1,text,,,etn_oth,Other language,Autre langue,Luga ingine?,Other language,Autre langue,Luga ingine?,,,,,,${etn}='96',,,,,,yes,
2,1,select_multiple status_list,,,status,Which of the following statuses are applicable to ${linenum}?,Est-ce que ${curr_name} a une des positions suivantes dans la communauté?,Est-ce que ${linenum} a une des positions suivantes dans la communauté?,Which of the following statuses are applicable to ${linenum}?,Est-ce que ${curr_name} a une des positions suivantes dans la communauté?,Est-ce que ${linenum} a une des positions suivantes dans la communauté?,,,Lire les options en haut voix,Lire les options en haut voix,Lire les options en haut voix,${age}>12,,"not(selected(.,'0') and count-selected(.)>1)",,,,yes,
2,1,select_one timeagric_list,,,timeagric,Time spent on agric,Temps dispensé pour travail agricol,Temps dispensé pour travail agricol,Temps dispensé pour travail agricol,Temps dispensé pour travail agricol,Temps dispensé pour travail agricol,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age}>14,,,,,,yes,
2,1,select_multiple occupation_list,10,.10,occupation,Check the activities ${curr_name} is engaged in,Quelles sont les occupations de ${curr_name}?,Quelles sont les occupations de ${curr_name}?,.10 Check the activities ${curr_name} is engaged in,.10 Quelles sont les occupations de ${curr_name}?,.10 Quelles sont les occupations de ${curr_name}?,,,,,,${age}>12,,"not(selected(.,'0') and count-selected(.)>1)",,,,yes,
2,1,text,13,.3.13,occup_aut_3,Specify,.3.13 Specifiez,.3.13 Pana mwangaza,,Specifiez,Pana mwangaza,,,,,,"selected(${occupation},'96')",,,,,,yes,
1,1,end group,,,,,,,,,,,,,,,,,,,,,,
1,0,end repeat,,,,,,,,,,,,,,,,,,,,,,
2,0,begin group,C,,c_,Housing etc.,Domicile,Domicile, Housing etc., Domicile,Domicile,,,,,,,,,,,,,
2,0,note,,,ses_note,,"Maintenant, je vais poser quelques questions sur votre histoire, et votre maison.","Maintenant, je vais poser quelques questions sur votre histoire, et votre maison.",," Maintenant, je vais poser quelques questions sur votre histoire, et votre maison.","Maintenant, je vais poser quelques questions sur votre histoire, et votre maison.",,,,,,,,,,,,,
2,0, select_one yes_no,1,C.1,headborn,Was the household head born in this village?,Est-ce que le chef de ménage est née dans le village,Je! mkubwa wa jamaa alizaliwa ndani ya kijiji hiki?,C.1 Was the household head born in this village?,C.1 Est-ce que le chef de ménage est née dans le village,C.1 Je! mkubwa wa jamaa alizaliwa ndani ya kijiji hiki?,,,,,,,,,,,,yes,
2,0,select_one live_list,6,C.6,familylong,When did he/she arrive in the village?,Quand est-ce qu'il/elle a arrivé dans le village?,Quand est-ce qu'il/elle a arrivé dans le village?,C.6 When did he/she arrive in the village?,C.6 Quand est-ce qu'il/elle a arrivé dans le village?,C.6 Quand est-ce qu'il/elle a arrivé dans le village?,,,,,,${headborn} = '0',,,,,,yes,
2,0, select_one yes_no,,,leftvillage,Est-ce que le chef de ménage a jamais quitté le village pour 3 mois ou plus? ,Est-ce que le chef de ménage a jamais quitté le village pour 3 mois ou plus? ,Est-ce que le chef de ménage a jamais quitté le village pour 3 mois ou plus? ,Est-ce que le chef de ménage a jamais quitté le village pour 3 mois ou plus? ,Est-ce que le chef de ménage a jamais quitté le village pour 3 mois ou plus? ,Est-ce que le chef de ménage a jamais quitté le village pour 3 mois ou plus? ,,,,,,,,,,,,yes,
2,0,integer,3,0.3,headmove_when,D.1.1.1 When did you move out (year)?,0.3 Dans quelle anée est-ce que il/elle a quitté le village le fois plus recent?,0.3 Dans quelle anée est-ce que il/elle a quitté le village le fois plus recent?,Dans quelle anée est-ce que il/elle a quitté le village le fois plus recent?,Dans quelle anée est-ce que il/elle a quitté le village le fois plus recent?,Dans quelle anée est-ce que il/elle a quitté le village le fois plus recent?,,,Le date de retour se trouve dans le page prochain,Le date de retour se trouve dans le page prochain,,${leftvillage} = '1',.>1950 and .<=2014,,,Notez un date entre 1950 et 2013,Notez un date entre 1950 et 2013,yes,
2,0,integer,4,0.4,headmoveback,D.1.1.2When did you move back (year)?,0.4 Dans quelle année est-ce que il/elle a retourné au village?,0.4 Dans quelle année est-ce que il/elle a retourné au village?,Dans quelle année est-ce que il/elle a retourné au village?,Dans quelle année est-ce que il/elle a retourné au village?,Ulirudi ndani ya kijiji mwaka gani?,,,"Si il/elle n'a pas encore retourné, laissez vide","Si il/elle n'a pas encore retourné, laissez vide",,${leftvillage} = '1',,,,Notez un date entre l'an de départ et 2013,Notez un date entre l'an de départ et 2013,yes,
2,0,select_one rent_list,7,C.7,houseown,Do you or your household own or rent this dwelling/building?,Est-ce que le ménage posède ou loue la maison?,Je! wewe au jamaa lako munanyumba au munapanga?,C.7 Do you or your household own or rent this dwelling/building?,C.7 Est-ce que le ménage posède ou loue la maison?,C.7 Je! wewe au jamaa lako munanyumba au munapanga?,,,,,,,,,,,,yes,
2,0,integer,7,C.7,rentprice,How much do you pay per month for rent?,Combien est-ce que vous payez par moi pour louer?,Munalipa ngapi kwa mwezi?,C.7 How much do you pay per month for rent?,C.7 Combien est-ce que vous payez par moi pour louer?,C.7 Munalipa ngapi kwa mwezi?,,,,Unités dans le page prochain,Unités dans le page prochain,${houseown}= '2',,,,,,yes,
2,0,select_one currency_list,8,C.8,rentprice_u,Units,Unités,munalipaka nini?,C.8 Units,C.8 Unités,C.8 munalipaka nini?,,,,,,${houseown}= '2',,not(.='2' and ${rentprice}<100),,,,yes,
2,0,select_one wall_list,9,C.9,wallmat,What is the major construction material of the outside walls?,Quel est le material des murs?,Vibambazi vya nyumba vimejengwa na nini?,C.9 What is the major construction material of the outside walls?,C.9 Quel est le material des murs?,C.9 Vibambazi vya nyumba vimejengwa na nini?,,,Principal Material,Material Principal,Material Principal,,,,,,,yes,
2,0,text,,,wallmat_oth,Specify,Specifiez,Pana mwangaza,Specify,Specifiez,Pana mwangaza,,,,,,${wallmat}='96',,,,,,yes,
2,0,select_one roof_list,10,C.10,roofmat,What is the major material of the roof?,Quel est la nature de toiture?,Nyumba yenu inafunikiwa na nini?,C.10 What is the major material of the roof?,C.10 Quel est la nature de toiture?,C.10 Nyumba yenu inafunikiwa na nini?,,,Principal Material,Material Principal,Material Principal,,,,,,,yes,
2,0,text,,,roofmat_oth,Specify,Specifiez,Pana mwangaza,Specify,Specifiez,Pana mwangaza,,,,,,${roofmat}='96',,,,,,yes,
2,0,select_one floor_list,11,C.11,floormat,What is the major material of the floor? ,Quel est le nature de pavement?,Sakafu inajengwa na nini?,C.11 What is the major material of the floor? ,C.11 Quel est le nature de pavement?,C.11 Sakafu inajengwa na nini?,,,Principal Material,Material Principal,Material Principal,,,,,,,yes,
2,0,text,,,floormat_oth,Specify,Specifiez,Pana mwangaza (Fafanuwa),Specify,Specifiez,Pana mwangaza (Fafanuwa),,,,,,${floormat}='96',,,,,,yes,
2,0,select_one water_list,12,C.12,watertype,What is your choice of water?,Quel est la source d’approvisionnement en eau potable principal ?,Unapata maji safi wapi?,C.12 What is your choice of water?,C.12 Quel est la source d’approvisionnement en eau potable principal ?,C.12 Unapata maji safi wapi?,,,,,,,,,,,,yes,
2,0,text,,,watertype_oth,Specify,Specifiez,Pana mwangaza,Specify,Specifiez,Pana mwangaza,,,,,,${watertype}='96',,,,,,yes,
2,0,integer,13,C.13,waterdist,What is the distance to the used source of water?,Distance d’eau,Munafanya saa ngapi kwa kuenda kushota mayi?,C.13 What is the distance to the used source of water?,C.13 Distance d’eau,C.13 Munafanya saa ngapi kwa kuenda kushota mayi?,,,,"Minutes à pied (distance de la maison, allez seulement)","Minutes à pied (distance de la maison, allez seulement)",${watertype}!='1',,,,,,yes,
2,0,select_one toilet_list,14,C.14,sanitation,What type of toilet do you use?,Quel est le type de toilet?,Munatumikisha aina gani ya choo?,C.14 What type of toilet do you use?,C.14 Quel est le type de toilet?,C.14 Munatumikisha aina gani ya choo?,,,Read the option out loud,Lire les assertions en haut voix,Lire les assertions en haut voix,,,,,,,yes,
2,0,text,,,sanitation_oth,Specify,Specifiez,Pana mwangaza,Specify,Specifiez,Pana mwangaza,,,,,,${sanitation}='96',,,,,,yes,
1,0,end group,,,,Housing etc.,,,,,,,,,,,,,,,,,,
1,0,select_multiple asset_list,,,assets,Which of the following durable goods does your household own?,Lesquels des biens suivants possèdent votre ménage?,Lesquels des biens suivants possèdent votre ménage?,Which of the following durable goods does your household own?,Lesquels des biens suivants possèdent votre ménage?,Lesquels des biens suivants possèdent votre ménage?,,,Read the options out loud,Lire les options en haut voix,Lire les assertions en haut voix,,,"not(selected(.,'0') and count-selected(.)>1) and not(selected(.,'97') and count-selected(.)>1) and not(selected(.,'98') and count-selected(.)>1)",,,,yes,
1,1,begin repeat,,,rpt_assets_owned,Durable Goods,Biens Durables,Biens Durables,Durable Goods,Biens Durables,Biens Durables,,,,,,"not(selected(${assets},'0')) and not(selected(${assets},'97'))  and not(selected(${assets},'98'))",,,,,,,count-selected(${assets})
1,1,calculate,,,this_asset,,,,,,,"selected-at(${assets},if(position(..)-1<0,0, position(..)-1))",,,,,,,,,,,,
1,1,calculate,,,this_asset_label,,,,,,,"jr:choice-name(${this_asset}, '${assets}')",,,,,,,,,,,,
