type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
calculate,,,replaceyn,,,,,,"if (${athomeyn}='0' or ${agricultureyn}='0' or ${responsableagryn}='0' or ${leftyn}='1' or ${acceptconsentyn} = '0',1,0)",,,,,,,,,,,
note,,,replacenote,Replace this respondent: first household to the right,Remplacez cet enqueté: prenez le ménage suivant situé à droite (quand on regarde la porte principal du cluature).,Remplacez cet enqueté: prenez le ménage suivant situé à droite (quand on regarde la porte principal du cloture).,Remplacez cet enqueté: prenez le ménage suivant situé à droite (quand on regarde la porte principal du cluature).,Remplacez cet enqueté: prenez le ménage suivant situé à droite (quand on regarde la porte principal du cloture).,,,,,,${replaceyn} = 1,,,,,,
end group,,,s0,,,,,,,,,,,,,,,,,
begin group,,,hh_,Household Questionnaire,Questionnaire de ménage,Questionnaire de ménage,Questionnaire de ménage,Questionnaire de ménage,,,,,,${replaceyn} = 0,,,,,,
begin group,A,Section A. ,a_,Section C Household Members,Section A: Rostre du ménage,Section A.  Rostre du ménage,Rostre du menage,Rostre du ménage,,,,,,,,,,,,
note,0,,instruct_names,"You will be asked the names of all household members. These names will be used in the rest of the interview, so make sure to include everyone.","Je vais vous demander les noms de tous les membres du ménage. Ces soms seront utilisé dans le reste du questionnaire, donc assurez vous d'inclure tous.","Ningipenda kukuhuliza majina ya watu wote wanyumbani. Majina haya yatatumikishwa ku mwisho wa mazungumzo, kwahiyo hakikisha kwamba watu wote wameandikwa","Je vais vous demander les noms de tous les membres du ménage. Ces soms seront utilisé dans le reste du questionnaire, donc assurez vous d'inclure tous.","Ningipenda kukuhuliza majina ya watu wote wanyumbani. Majina haya yatatumikishwa ku mwisho wa mazungumzo, kwahiyo hakikisha kwamba watu wote wameandikwa",,,,"Le ménage inclut tous les personnes qui sont absent pendant moins qu'un année, ou visiteurs de plus que 3 mois.","Le ménage inclut tous les personnes qui sont absent pendant moins qu'un année, ou visiteurs de plus que 3 mois.",,,,,,,
text,1,A.0.1,mem_nm_1,Name,A.0.1 Nom,A.0.1 Jina,Nom,Jina,,,,Le premier membre est toujours le chef du ménage,Le premier membre est toujours le chef du ménage,,,,,,yes,
calculate,,,mem_exist_1,,,,,,"if(${mem_nm_1}='',0,1)",,,,,,0,,,,,
text,2,A.0.2,mem_nm_2,Name,A.0.2 Nom,A.0.2 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_1} = 1,,,,,,
calculate,,,mem_exist_2,,,,,,"if(${mem_nm_2}='',0,1)",,,,,,0,,,,,
text,3,A.0.3,mem_nm_3,Name,A.0.3 Nom,A.0.3 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_2} = 1,,,,,,
calculate,,,mem_exist_3,,,,,,"if(${mem_nm_3}='',0,1)",,,,,,0,,,,,
text,4,A.0.4,mem_nm_4,Name,A.0.4 Nom,A.0.4 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_3} = 1,,,,,,
calculate,,,mem_exist_4,,,,,,"if(${mem_nm_4}='',0,1)",,,,,,0,,,,,
text,5,A.0.5,mem_nm_5,Name,A.0.5 Nom,A.0.5 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_4} = 1,,,,,,
calculate,,,mem_exist_5,,,,,,"if(${mem_nm_5}='',0,1)",,,,,,0,,,,,
text,6,A.0.6,mem_nm_6,Name,A.0.6 Nom,A.0.6 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_5} = 1,,,,,,
calculate,,,mem_exist_6,,,,,,"if(${mem_nm_6}='',0,1)",,,,,,0,,,,,
text,7,A.0.7,mem_nm_7,Name,A.0.7 Nom,A.0.7 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_6} = 1,,,,,,
calculate,,,mem_exist_7,,,,,,"if(${mem_nm_7}='',0,1)",,,,,,0,,,,,
text,8,A.0.8,mem_nm_8,Name,A.0.8 Nom,A.0.8 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_7} = 1,,,,,,
calculate,,,mem_exist_8,,,,,,"if(${mem_nm_8}='',0,1)",,,,,,0,,,,,
text,9,A.0.9,mem_nm_9,Name,A.0.9 Nom,A.0.9 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_8} = 1,,,,,,
calculate,,,mem_exist_9,,,,,,"if(${mem_nm_9}='',0,1)",,,,,,0,,,,,
text,10,A.0.10,mem_nm_10,Name,A.0.10 Nom,A.0.10 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_9} = 1,,,,,,
calculate,,,mem_exist_10,,,,,,"if(${mem_nm_10}='',0,1)",,,,,,0,,,,,
text,11,A.0.11,mem_nm_11,Name,A.0.11 Nom,A.0.11 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_10} = 1,,,,,,
calculate,,,mem_exist_11,,,,,,"if(${mem_nm_11}='',0,1)",,,,,,0,,,,,
text,12,A.0.12,mem_nm_12,Name,A.0.12 Nom,A.0.12 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_11} = 1,,,,,,
calculate,,,mem_exist_12,,,,,,"if(${mem_nm_12}='',0,1)",,,,,,0,,,,,
text,13,A.0.13,mem_nm_13,Name,A.0.13 Nom,A.0.13 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_12} = 1,,,,,,
calculate,,,mem_exist_13,,,,,,"if(${mem_nm_13}='',0,1)",,,,,,0,,,,,
text,14,A.0.14,mem_nm_14,Name,A.0.14 Nom,A.0.14 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_13} = 1,,,,,,
calculate,,,mem_exist_14,,,,,,"if(${mem_nm_14}='',0,1)",,,,,,0,,,,,
text,15,A.0.15,mem_nm_15,Name,A.0.15 Nom,A.0.15 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_14} = 1,,,,,,
calculate,,,mem_exist_15,,,,,,"if(${mem_nm_15}='',0,1)",,,,,,0,,,,,
text,16,A.0.16,mem_nm_16,Name,A.0.16 Nom,A.0.16 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_15} = 1,,,,,,
calculate,,,mem_exist_16,,,,,,"if(${mem_nm_16}='',0,1)",,,,,,0,,,,,
text,17,A.0.17,mem_nm_17,Name,A.0.17 Nom,A.0.17 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_16} = 1,,,,,,
calculate,,,mem_exist_17,,,,,,"if(${mem_nm_17}='',0,1)",,,,,,0,,,,,
text,18,A.0.18,mem_nm_18,Name,A.0.18 Nom,A.0.18 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_17} = 1,,,,,,
calculate,,,mem_exist_18,,,,,,"if(${mem_nm_18}='',0,1)",,,,,,0,,,,,
text,19,A.0.19,mem_nm_19,Name,A.0.19 Nom,A.0.19 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_18} = 1,,,,,,
calculate,,,mem_exist_19,,,,,,"if(${mem_nm_19}='',0,1)",,,,,,0,,,,,
text,20,A.0.20,mem_nm_20,Name,A.0.20 Nom,A.0.20 Jina,Nom,Jina,,,,"Après le dernière membre du menage, laissez vide le cellule.","Après le dernière membre du menage, laissez vide le cellule.",${mem_exist_19} = 1,,,,,,
calculate,,,mem_exist_20,,,,,,"if(${mem_nm_20}='',0,1)",,,,,,0,,,,,
calculate,,,size,Calculated household size,,,,,${mem_exist_1} + ${mem_exist_2} + ${mem_exist_3} + ${mem_exist_4} + ${mem_exist_5} + ${mem_exist_6} + ${mem_exist_7} + ${mem_exist_8} + ${mem_exist_9} + ${mem_exist_10} + ${mem_exist_11} + ${mem_exist_12} + ${mem_exist_13} + ${mem_exist_14} + ${mem_exist_15} + ${mem_exist_16} + ${mem_exist_17} + ${mem_exist_18} + ${mem_exist_19} + ${mem_exist_20} ,,,,,,,,,,,
select_one household_list,21,A.0.21,respondent,Who is the main respondent during this interview?,A.0.21 Qui est l'enqueté pour cet interview?,A.0.21 Jina la mtu anayeulizwa,Qui est l'enqueté pour cet interview?,Jina la mtu anayeulizwa,,,,,,,,,,,yes,
begin group,1,,mem1,${mem_nm_1},${mem_nm_1},${mem_nm_1},,${mem_nm_1},,,,,,${size} >=1,,,,,,
note,,,note_member_name_1,Please answer the following questions for ${mem_nm_1},Répondez les questions suivants pour ${mem_nm_1},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_1},Répondez les questions suivants pour ${mem_nm_1},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_1},,,,,,,,,,,,
integer,1,A.1.1,age_1,C.1.1 Enter the age of this member,A.1.1 Quel est l'age de ${mem_nm_1},A.1.1 ${mem_nm_1} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_1},${mem_nm_1} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.1.2,age_exact_1,C.1.2 Is the age of the household member exact of approximate?,A.1.2 Est-ce que l'age est exacte ou approximatif?,A.1.2 Je! miaka ya ${mem_nm_1} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_1} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.1.3,literacy_1,C.1.3 Is the household member literate?,A.1.3 Est-ce que ${mem_nm_1} est alphabétisé?,A.1.3 Je! ${mem_nm_1} ni musomi?,Est-ce que ${mem_nm_1} est alphabétisé?,Je! ${mem_nm_1} ni musomi?,,,,,,${age_1}>4,,,,,yes,
select_one gender_list,4,A.1.4,gender_1,C.1.4 Enter the gender of this member,A.1.4 Quel est le genre de ${mem_nm_1}?,A.1.4 Je! ${mem_nm_1} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_1}?,Je! ${mem_nm_1} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.1.5,relhead_1,C.1.5 Relationship with Household head,A.1.5 Quelle est la relation avec le chef du ménage?,A.1.5 ${mem_nm_1} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_1} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.1.6,resstat_1,What is the residence status within the household?,A.1.6 Quelle est le statut de residence au ménage de ${mem_nm_1}?,A.1.6 Je! ${mem_nm_1} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_1}?,Je! ${mem_nm_1} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.1.7,school_1,What is the level of education?,A.1.7 Quel est le niveau d'education de ${mem_nm_1}?,A.1.7 ${mem_nm_1} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_1}?,${mem_nm_1} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.1.8,reli_1,What is the religion,A.1.8 Quelle est la religion de ${mem_nm_1}?,A.1.8 Dini ya ${mem_nm_1} ni gani?,Quelle est la religion de ${mem_nm_1}?,Dini ya ${mem_nm_1} ni gani?,,,,,,,,,,,yes,
text,9,A.1.9,reli_aut_1,Other religion,A.1.9 Autre religion,A.1.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_1}='96',,,,,yes,
select_one tribe_list,10,A.1.10,etn_1,What is the mother language?,A.1.10 Quelle est le langue maternel de ${mem_nm_1}?,A.1.10 Luga ya ${mem_nm_1} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_1}?,Luga ya ${mem_nm_1} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.1.11,etn_aut_1,Other religion,A.1.11 Autre langue,A.1.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_1}='96',,,,,yes,
select_one occupation_list,12,A.1.12,occup_1,What is the primary occupation,A.1.12 Quelle est la occupation primaire de ${mem_nm_1}?,A.1.12 Kazi ya kawaida ya ${mem_nm_1}?,Quelle est la occupation primaire de ${mem_nm_1}?,Kazi ya kawaida ya ${mem_nm_1}?,,,,,,${age_1}>12,,,,,yes,
text,13,A.1.13,occup_aut_1,Specify,A.1.13 Specifiez,A.1.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_1}='96',,,,,yes,
select_one share5_list,14,A.1.14,timeagr_1,Time spent on agricultural work,A.1.14 Combien de temps dispense ce membre pour travail agricol?,A.1.14 ${mem_nm_1} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_1} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_1}>14,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,2,,mem2,${mem_nm_2},${mem_nm_2},${mem_nm_2},,${mem_nm_2},,,,,,${size} >=2,,,,,,
note,,,note_member_name_2,Please answer the following questions for ${mem_nm_2},Répondez les questions suivants pour ${mem_nm_2},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_2},Répondez les questions suivants pour ${mem_nm_2},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_2},,,,,,,,,,,,
integer,1,A.2.1,age_2,C.2.1 Enter the age of this member,A.2.1 Quel est l'age de ${mem_nm_2},A.2.1 ${mem_nm_2} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_2},${mem_nm_2} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.2.2,age_exact_2,C.1.2 Is the age of the household member exact of approximate?,A.2.2 Est-ce que l'age est exacte ou approximatif?,A.2.2 Je! miaka ya ${mem_nm_2} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_2} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.2.3,literacy_2,C.1.3 Is the household member literate?,A.2.3 Est-ce que${mem_nm_2} est alphabétisé?,A.2.3 Je! ${mem_nm_2} ni musomi?,Est-ce que${mem_nm_2} est alphabétisé?,Je! ${mem_nm_2} ni musomi?,,,,,,${age_2}>4,,,,,yes,
select_one gender_list,4,A.2.4,gender_2,C.1.4 Enter the gender of this member,A.2.4 Quel est le genre de ${mem_nm_2}?,A.2.4 Je! ${mem_nm_2} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_2}?,Je! ${mem_nm_2} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.2.5,relhead_2,C.1.5 Relationship with Household head,A.2.5 Quelle est la relation avec le chef du ménage?,A.2.5 ${mem_nm_2} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_2} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.2.6,resstat_2,What is the residence status within the household?,A.2.6 Quelle est le statut de residence au ménage de ${mem_nm_2}?,A.2.6 Je! ${mem_nm_2} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_2}?,Je! ${mem_nm_2} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.2.7,school_2,What is the level of education?,A.2.7 Quel est le niveau d'education de ${mem_nm_2}?,A.2.7 ${mem_nm_2} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_2}?,${mem_nm_2} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.2.8,reli_2,What is the religion,A.2.8 Quelle est la religion de ${mem_nm_2}?,A.2.8 Dini ya ${mem_nm_2} ni gani?,Quelle est la religion de ${mem_nm_2}?,Dini ya ${mem_nm_2} ni gani?,,,,,,,,,,,yes,
text,9,A.2.9,reli_aut_2,Other religion,A.2.9 Autre religion,A.2.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_2}='96',,,,,yes,
select_one tribe_list,10,A.2.10,etn_2,What is the mother language?,A.2.10 Quelle est le langue maternel de ${mem_nm_2}?,A.2.10 Luga ya ${mem_nm_2} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_2}?,Luga ya ${mem_nm_2} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.2.11,etn_aut_2,Other religion,A.2.11 Autre langue,A.2.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_2}='96',,,,,yes,
select_one occupation_list,12,A.2.12,occup_2,What is the primary occupation,A.2.12 Quelle est la occupation primaire de ${mem_nm_2}?,A.2.12 Kazi ya kawaida ya ${mem_nm_2}?,Quelle est la occupation primaire de ${mem_nm_2}?,Kazi ya kawaida ya ${mem_nm_2}?,,,,,,${age_2}>12,,,,,yes,
text,13,A.2.13,occup_aut_2,Specify,A.2.13 Specifiez,A.2.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_2}='96',,,,,yes,
select_one share5_list,14,A.2.14,timeagr_2,Time spent on agricultural work,A.2.14 Combien de temps dispense ce membre pour travail agricol?,A.2.14 ${mem_nm_2} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_2} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_2}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,3,,mem3,${mem_nm_3},${mem_nm_3},${mem_nm_3},,${mem_nm_3},,,,,,${size} >=3,,,,,,
note,,,note_member_name_3,Please answer the following questions for ${mem_nm_3},Répondez les questions suivants pour ${mem_nm_3},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_3},Répondez les questions suivants pour ${mem_nm_3},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_3},,,,,,,,,,,,
integer,1,A.3.1,age_3,C.3.1 Enter the age of this member,A.3.1 Quel est l'age de ${mem_nm_3},A.3.1 ${mem_nm_3} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_3},${mem_nm_3} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.3.2,age_exact_3,C.1.2 Is the age of the household member exact of approximate?,A.3.2 Est-ce que l'age est exacte ou approximatif?,A.3.2 Je! miaka ya ${mem_nm_3} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_3} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.3.3,literacy_3,C.1.3 Is the household member literate?,A.3.3 Est-ce que${mem_nm_3} est alphabétisé?,A.3.3 Je! ${mem_nm_3} ni musomi?,Est-ce que${mem_nm_3} est alphabétisé?,Je! ${mem_nm_3} ni musomi?,,,,,,${age_3}>4,,,,,yes,
select_one gender_list,4,A.3.4,gender_3,C.1.4 Enter the gender of this member,A.3.4 Quel est le genre de ${mem_nm_3}?,A.3.4 Je! ${mem_nm_3} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_3}?,Je! ${mem_nm_3} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.3.5,relhead_3,C.1.5 Relationship with Household head,A.3.5 Quelle est la relation avec le chef du ménage?,A.3.5 ${mem_nm_3} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_3} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.3.6,resstat_3,What is the residence status within the household?,A.3.6 Quelle est le statut de residence au ménage de ${mem_nm_3}?,A.3.6 Je! ${mem_nm_3} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_3}?,Je! ${mem_nm_3} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.3.7,school_3,What is the level of education?,A.3.7 Quel est le niveau d'education de ${mem_nm_3}?,A.3.7 ${mem_nm_3} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_3}?,${mem_nm_3} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.3.8,reli_3,What is the religion,A.3.8 Quelle est la religion de ${mem_nm_3}?,A.3.8 Dini ya ${mem_nm_3} ni gani?,Quelle est la religion de ${mem_nm_3}?,Dini ya ${mem_nm_3} ni gani?,,,,,,,,,,,yes,
text,9,A.3.9,reli_aut_3,Other religion,A.3.9 Autre religion,A.3.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_3}='96',,,,,yes,
select_one tribe_list,10,A.3.10,etn_3,What is the mother language?,A.3.10 Quelle est le langue maternel de ${mem_nm_3}?,A.3.10 Luga ya ${mem_nm_3} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_3}?,Luga ya ${mem_nm_3} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.3.11,etn_aut_3,Other religion,A.3.11 Autre langue,A.3.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_3}='96',,,,,yes,
select_one occupation_list,12,A.3.12,occup_3,What is the primary occupation,A.3.12 Quelle est la occupation primaire de ${mem_nm_3}?,A.3.12 Kazi ya kawaida ya ${mem_nm_3}?,Quelle est la occupation primaire de ${mem_nm_3}?,Kazi ya kawaida ya ${mem_nm_3}?,,,,,,${age_3}>12,,,,,yes,
text,13,A.3.13,occup_aut_3,Specify,A.3.13 Specifiez,A.3.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_3}='96',,,,,yes,
select_one share5_list,14,A.3.14,timeagr_3,Time spent on agricultural work,A.3.14 Combien de temps dispense ce membre pour travail agricol?,A.3.14 ${mem_nm_3} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_3} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_3}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,4,,mem4,${mem_nm_4},${mem_nm_4},${mem_nm_4},,${mem_nm_4},,,,,,${size} >=4,,,,,,
note,,,note_member_name_4,Please answer the following questions for ${mem_nm_4},Répondez les questions suivants pour ${mem_nm_4},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_4},Répondez les questions suivants pour ${mem_nm_4},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_4},,,,,,,,,,,,
integer,1,A.4.1,age_4,C.4.1 Enter the age of this member,A.4.1 Quel est l'age de ${mem_nm_4},A.4.1 ${mem_nm_4} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_4},${mem_nm_4} iko na miaka ngapi? ,,,,,,,,,,,yes,
